feature,importance_xgb,coef_logreg
Dalc,0.028044496,0.5574508912243863
Fedu,0.024300907,-0.41335453610793704
Fjob_at_home,0.024309102,-0.07582214196364864
Fjob_health,,-0.09417337940468906
Fjob_other,,0.059718637308853094
Fjob_services,,-0.05210995610742725
Fjob_teacher,,0.16161043525162
Medu,0.02977613,-0.4456438809415646
Mjob_at_home,0.042543013,-0.1685035439289232
Mjob_health,0.029576303,0.22861522238241225
Mjob_other,,0.09866728933347382
Mjob_services,,0.08104261439133341
Mjob_teacher,0.02564472,-0.24059798709358785
Pstatus_A,0.027693475,0.32907881752941726
Pstatus_T,,-0.3298552224447077
Walc,,-0.01701967623287673
absences,0.0197357,0.08306896983645154
activities_no,,0.1008077192717848
activities_yes,,-0.10158412418707692
address_R,0.025920838,0.05878119888699212
address_U,,-0.05955760380228369
age,,-0.034126368675677254
failures,0.07340953,1.085991713683668
famrel,,-0.32290880316872034
famsize_GT3,0.024428556,0.1403427363015037
famsize_LE3,,-0.14111914121679717
famsup_no,,-0.10140916299990547
famsup_yes,,0.10063275808461411
freetime,,-0.008908556211654595
goout,0.036122646,0.5105934999243118
guardian_father,,0.016501486820252296
guardian_mother,,-0.08628722326219589
guardian_other,0.047938727,0.06900933152665174
health,,-0.093534027565955
higher_no,0.06917668,0.049225022508214394
higher_yes,,-0.050001427423504274
internet_no,,0.08469435952906247
internet_yes,,-0.08547076444435375
nursery_no,0.028742298,-0.12275843507880937
nursery_yes,,0.1219820301635217
paid_no,,-0.06491921814488957
paid_yes,,0.06414281322959842
reason_course,0.023950206,-0.07965919597580919
reason_home,,-0.07532519353875902
reason_other,,0.2977853979794419
reason_reputation,,-0.1435774133801632
romantic_no,0.027670426,-0.149505006362664
romantic_yes,,0.14872860144737207
school_GP,0.019841349,-0.17943756543567826
school_MS,,0.17866116052038658
schoolsup_no,,-0.20747374716014078
schoolsup_yes,,0.2066973422448508
sex_F,,-0.05862703370736656
sex_M,,0.05785062879207613
studytime,0.059277978,-0.8513850184471327
traveltime,,-0.08705731334316696
